wavenumber [cm^-1],absorbance
463.4380,0.027334
464.3755,0.026872
465.3130,0.026872
466.2505,0.026872
467.1880,0.026872
468.1255,0.026872
469.0630,0.026872
470.0005,0.027334
470.9380,0.027334
471.8755,0.027334
472.8130,0.028260
473.7505,0.028724
474.6880,0.029653
475.6255,0.030118
476.5630,0.032920
477.5005,0.033389
478.4380,0.034328
479.3756,0.034328
480.3131,0.032920
481.2506,0.031517
482.1881,0.030118
483.1256,0.030118
484.0631,0.025949
485.0006,0.025949
485.9381,0.026872
486.8756,0.026872
487.8131,0.027334
488.7506,0.027334
489.6881,0.027334
490.6256,0.027334
491.5631,0.028260
492.5006,0.028260
493.4381,0.025488
494.3756,0.024568
495.3131,0.024568
496.2506,0.025488
497.1881,0.025949
498.1256,0.027334
499.0631,0.028260
500.0006,0.028260
500.9381,0.028260
501.8756,0.028724
502.8131,0.028260
503.7506,0.028260
504.6881,0.028260
505.6256,0.028724
506.5631,0.028724
507.5006,0.029653
508.4381,0.029653
509.3757,0.029653
510.3132,0.031517
511.2507,0.033389
512.1882,0.034328
513.1257,0.031984
514.0632,0.026872
515.0007,0.024568
515.9382,0.024109
516.8757,0.024568
517.8132,0.025949
518.7507,0.026872
519.6882,0.028260
520.6257,0.028260
521.5632,0.028724
522.5007,0.028724
523.4382,0.025488
524.3757,0.023650
525.3132,0.023650
526.2507,0.022734
527.1882,0.022734
528.1257,0.022276
529.0632,0.021363
530.0007,0.022276
530.9382,0.022276
531.8757,0.024109
532.8132,0.024568
533.7507,0.024568
534.6882,0.024109
535.6257,0.023650
536.5632,0.022734
537.5007,0.022276
538.4383,0.021363
539.3758,0.021363
540.3133,0.020907
541.2508,0.021363
542.1883,0.023650
543.1258,0.031984
544.0633,0.033389
545.0008,0.032920
545.9383,0.028724
546.8758,0.025488
547.8133,0.022734
548.7508,0.021363
549.6883,0.019997
550.6258,0.021363
551.5633,0.023650
552.5008,0.039006
553.4383,0.040482
554.3758,0.039054
555.3133,0.029700
556.2508,0.022322
557.1883,0.019997
558.1258,0.018634
559.0633,0.018634
560.0008,0.018634
560.9383,0.019997
561.8758,0.019997
562.8133,0.019542
563.7508,0.019542
564.6883,0.018634
565.6258,0.018634
566.5633,0.018181
567.5008,0.018181
568.4384,0.018181
569.3759,0.018181
570.3134,0.018634
571.2509,0.018634
572.1884,0.018634
573.1259,0.017729
574.0634,0.017729
575.0009,0.018181
575.9384,0.019542
576.8759,0.022734
577.8134,0.025488
578.7509,0.025949
579.6884,0.025488
580.6259,0.021363
581.5634,0.019997
582.5009,0.016825
583.4384,0.014125
584.3759,0.013676
585.3134,0.015023
586.2509,0.018634
587.1884,0.019542
588.1259,0.018634
589.0634,0.015023
590.0009,0.013676
590.9384,0.012334
591.8759,0.011887
592.8134,0.010550
593.7509,0.010550
594.6884,0.012781
595.6259,0.012781
596.5634,0.012781
597.5009,0.012781
598.4385,0.012334
599.3760,0.011887
600.3135,0.011887
601.2510,0.011887
602.1885,0.012781
603.1260,0.015023
604.0635,0.016374
605.0010,0.015023
605.9385,0.012781
606.8760,0.009661
607.8135,0.009661
608.7510,0.009217
609.6885,0.009217
610.6260,0.009217
611.5635,0.008331
612.5010,0.008331
613.4385,0.010550
614.3760,0.011887
615.3135,0.012781
616.2510,0.011887
617.1885,0.009217
618.1260,0.008331
619.0635,0.008331
620.0010,0.010995
620.9385,0.011887
621.8760,0.011887
622.8135,0.009217
623.7510,0.007889
624.6885,0.007889
625.6260,0.008331
626.5635,0.009217
627.5010,0.009217
628.4386,0.009661
629.3761,0.008331
630.3136,0.007889
631.2511,0.006564
632.1886,0.005243
633.1261,0.004804
634.0636,0.004804
635.0011,0.006123
635.9386,0.006123
636.8761,0.006123
637.8136,0.006123
638.7511,0.006123
639.6886,0.006123
640.6261,0.005243
641.5636,0.005243
642.5011,0.004804
643.4386,0.004804
644.3761,0.005243
645.3136,0.006564
646.2511,0.006564
647.1886,0.007005
648.1261,0.007005
649.0636,0.007889
650.0011,0.008331
650.9386,0.008331
651.8761,0.009217
652.8136,0.009217
653.7511,0.008331
654.6886,0.007889
655.6261,0.009217
656.5636,0.010550
657.5011,0.010550
658.4387,0.009661
659.3762,0.008331
660.3137,0.008331
661.2512,0.007889
662.1887,0.007005
663.1262,0.007005
664.0637,0.006123
665.0012,0.005243
665.9387,0.004804
666.8762,0.004804
667.8137,0.004804
668.7512,0.003926
669.6887,0.003926
670.6262,0.003926
671.5637,0.003926
672.5012,0.003926
673.4387,0.003926
674.3762,0.003488
675.3137,0.002614
676.2512,0.002614
677.1887,0.002614
678.1262,0.002614
679.0637,0.002614
680.0012,0.003488
680.9387,0.003488
681.8762,0.003926
682.8137,0.003926
683.7512,0.003926
684.6887,0.003926
685.6262,0.003926
686.5637,0.003926
687.5013,0.004804
688.4388,0.004804
689.3763,0.004804
690.3138,0.004804
691.2513,0.003926
692.1888,0.003926
693.1263,0.003926
694.0638,0.005243
695.0013,0.007005
695.9388,0.008331
696.8763,0.009217
697.8138,0.009661
698.7513,0.009661
699.6888,0.008331
700.6263,0.008331
701.5638,0.007889
702.5013,0.007005
703.4388,0.005243
704.3763,0.003926
705.3138,0.003488
706.2513,0.003488
707.1888,0.003488
708.1263,0.003488
709.0638,0.003488
710.0013,0.003488
710.9388,0.003488
711.8763,0.002177
712.8138,0.002177
713.7513,0.002177
714.6888,0.002177
715.6263,0.002177
716.5638,0.002614
717.5014,0.002614
718.4389,0.002614
719.3764,0.002614
720.3139,0.002614
721.2514,0.002614
722.1889,0.002614
723.1264,0.002177
724.0639,0.001305
725.0014,0.000869
725.9389,0.000869
726.8764,0.000869
727.8139,0.000869
728.7514,0.000869
729.6889,0.001305
730.6264,0.002614
731.5639,0.003488
732.5014,0.003488
733.4389,0.002177
734.3764,0.002177
735.3139,0.002177
736.2514,0.002614
737.1889,0.003488
738.1264,0.004804
739.0639,0.007889
740.0014,0.009217
740.9389,0.011887
741.8764,0.011887
742.8139,0.010550
743.7514,0.006564
744.6889,0.004804
745.6264,0.003926
746.5639,0.003926
747.5015,0.003488
748.4390,0.003488
749.3765,0.003488
750.3140,0.003488
751.2515,0.003488
752.1890,0.003488
753.1265,0.003488
754.0640,0.003488
755.0015,0.003926
755.9390,0.003926
756.8765,0.003926
757.8140,0.003926
758.7515,0.003926
759.6890,0.004804
760.6265,0.003926
761.5640,0.003926
762.5015,0.003488
763.4390,0.003926
764.3765,0.003488
765.3140,0.003488
766.2515,0.003488
767.1890,0.003488
768.1265,0.003488
769.0640,0.003488
770.0015,0.003488
770.9390,0.003488
771.8765,0.002614
772.8140,0.002614
773.7515,0.002177
774.6890,0.002614
775.6265,0.002614
776.5640,0.002614
777.5016,0.003488
778.4391,0.003488
779.3766,0.003926
780.3141,0.004804
781.2516,0.004804
782.1891,0.006123
783.1266,0.006123
784.0641,0.006564
785.0016,0.005243
785.9391,0.004804
786.8766,0.003926
787.8141,0.003488
788.7516,0.003488
789.6891,0.002614
790.6266,0.002177
791.5641,0.002177
792.5016,0.001305
793.4391,0.002177
794.3766,0.002177
795.3141,0.002177
796.2516,0.002614
797.1891,0.002614
798.1266,0.002614
799.0641,0.003488
800.0016,0.003488
800.9391,0.003488
801.8766,0.003926
802.8141,0.003926
803.7516,0.003926
804.6891,0.003926
805.6266,0.003926
806.5642,0.003488
807.5017,0.003488
808.4392,0.002614
809.3767,0.003488
810.3142,0.003488
811.2517,0.003488
812.1892,0.003488
813.1267,0.003488
814.0642,0.003488
815.0017,0.003488
815.9392,0.003488
816.8767,0.003488
817.8142,0.003488
818.7517,0.003488
819.6892,0.003488
820.6267,0.003488
821.5642,0.003488
822.5017,0.003926
823.4392,0.004804
824.3767,0.005243
825.3142,0.006123
826.2517,0.005243
827.1892,0.004804
828.1267,0.003926
829.0642,0.003926
830.0017,0.003488
830.9392,0.002614
831.8767,0.002614
832.8142,0.003488
833.7517,0.003926
