shift_ppm,CS01,CS02,CS03
0.800445,0.000288233,0.0002172,0.000243309
0.801723,0.000290293,0.000218872,0.000244758
0.803001,0.000292429,0.000220612,0.000246254
0.804279,0.00029483,0.000222716,0.000247858
0.805557,0.000297123,0.000224826,0.000249766
0.806835,0.000299497,0.000227155,0.000251907
0.808113,0.000302296,0.000229801,0.000254326
0.809391,0.000305079,0.000232542,0.00025703
0.810668,0.00030826,0.00023558,0.000259983
0.811946,0.000311637,0.000238517,0.000263
0.813224,0.000315126,0.000241973,0.000266299
0.814502,0.000318603,0.000245362,0.000269702
0.81578,0.000322619,0.000249148,0.00027324
0.817058,0.000326463,0.000252732,0.000277108
0.818336,0.000330381,0.000256485,0.000280723
0.819614,0.000334628,0.000260126,0.000284221
0.820892,0.000338581,0.000263767,0.000287827
0.82217,0.000342762,0.000267423,0.000291148
0.823448,0.000346644,0.00027094,0.000294414
0.824726,0.000350381,0.000274153,0.000297759
0.826004,0.000354125,0.000277488,0.000300775
0.827282,0.000357901,0.000280576,0.000304256
0.82856,0.000361586,0.000283822,0.000307329
0.829838,0.000365182,0.00028695,0.000310568
0.831116,0.00036856,0.000289999,0.000313915
0.832394,0.000371981,0.000293267,0.000317017
0.833672,0.000375508,0.000296011,0.000320397
0.83495,0.000378901,0.000299042,0.000323401
0.836228,0.000382244,0.000302288,0.000326538
0.837506,0.000385242,0.000305164,0.000329553
0.838784,0.000388635,0.000307965,0.000332575
0.840061,0.000392117,0.000311136,0.00033562
0.841339,0.000395714,0.000314411,0.000339131
0.842617,0.000399149,0.000317691,0.000342931
0.843895,0.000402973,0.000321826,0.000347166
0.845173,0.00040725,0.000325993,0.000351971
0.846451,0.00041172,0.0003308,0.000357203
0.847729,0.000416682,0.000335612,0.000363028
0.849007,0.000422105,0.000340994,0.000368996
0.850285,0.000427581,0.000347031,0.000375438
0.851563,0.000434199,0.000353406,0.000382704
0.852841,0.000440917,0.000360479,0.000389862
0.854119,0.000448067,0.00036779,0.000397663
0.855397,0.000455687,0.0003759,0.000406197
0.856675,0.000464205,0.000384457,0.000415575
0.857953,0.000473208,0.000393947,0.000425585
0.859231,0.000482551,0.000404046,0.00043674
0.860509,0.000493138,0.000415278,0.000448857
0.861787,0.000504553,0.000426956,0.000461896
0.863065,0.000516258,0.000439994,0.000476232
0.864343,0.000529053,0.000453635,0.000491462
0.865621,0.000542561,0.000468296,0.000507995
0.866899,0.000556598,0.000483494,0.000525392
0.868176,0.000571497,0.000499436,0.000543657
0.869454,0.000586533,0.000515417,0.000562475
0.870732,0.000601845,0.000531102,0.000581075
0.87201,0.000616283,0.000545958,0.0005983
0.873288,0.000630184,0.000559204,0.000613135
0.874566,0.000642782,0.000569884,0.000624427
0.875844,0.000653144,0.000578277,0.000631468
0.877122,0.000661148,0.000583474,0.00063446
0.8784,0.000666648,0.000586217,0.000634411
0.879678,0.00066975,0.000586765,0.000632413
0.880956,0.0006705,0.000585844,0.000629398
0.882234,0.000669345,0.000583263,0.000625629
0.883512,0.000666299,0.000578938,0.000620662
0.88479,0.000661473,0.000572624,0.000613083
0.886068,0.000654763,0.000563921,0.00060228
0.887346,0.000645901,0.000552813,0.000587324
0.888624,0.000634721,0.000539847,0.00056979
0.889902,0.000622027,0.00052531,0.000550681
0.89118,0.000607997,0.00051029,0.000531576
0.892458,0.00059317,0.000495614,0.000513765
0.893736,0.000578219,0.00048152,0.000497381
0.895014,0.000564086,0.000468231,0.000483022
0.896291,0.000549988,0.000456019,0.000470508
0.897569,0.000537045,0.000445096,0.000459141
0.898847,0.000525457,0.000435313,0.000449466
0.900125,0.000514811,0.000426477,0.000440877
0.901403,0.000505403,0.000418711,0.000433412
0.902681,0.000496713,0.000411892,0.000427091
0.903959,0.000489169,0.000405734,0.000421543
0.905237,0.000482091,0.000400272,0.000416367
0.906515,0.00047621,0.000395097,0.000412159
0.907793,0.000470546,0.000390866,0.000407976
0.909071,0.000465424,0.000386798,0.000404189
0.910349,0.000461171,0.000383057,0.000400955
0.911627,0.000457307,0.000379802,0.00039794
0.912905,0.000453823,0.00037675,0.000395074
0.914183,0.000450761,0.000374235,0.000393034
0.915461,0.000447951,0.000371949,0.000390811
0.916739,0.000445618,0.000369735,0.000388992
0.918017,0.000443614,0.000368145,0.000387499
0.919295,0.000441538,0.000366375,0.000386133
0.920573,0.000440235,0.000365025,0.00038508
0.921851,0.000438884,0.000364041,0.000384271
0.923129,0.000438103,0.00036305,0.000383822
0.924407,0.000437032,0.000362418,0.000383385
0.925684,0.000436632,0.00036216,0.000383219
0.926962,0.000436187,0.000361806,0.000383294
0.92824,0.000436171,0.000361621,0.000383792
0.929518,0.000435822,0.000361843,0.00038406
0.930796,0.000436303,0.000361917,0.000384408
0.932074,0.000436531,0.000362336,0.000384992
0.933352,0.000436988,0.000362894,0.000385742
0.93463,0.00043801,0.000363646,0.000386827
0.935908,0.000438447,0.000364633,0.00038802
0.937186,0.000439642,0.000365972,0.000389582
0.938464,0.000440945,0.000367402,0.000391195
0.939742,0.000442376,0.000368998,0.000392913
0.94102,0.000443903,0.000370475,0.000395377
0.942298,0.000445695,0.000372337,0.000397636
0.943576,0.000447671,0.000374358,0.000399908
0.944854,0.000449639,0.000376361,0.000402513
0.946132,0.000451819,0.000378568,0.000404834
0.94741,0.000453359,0.000380611,0.000407321
0.948688,0.00045592,0.000382472,0.000409541
0.949966,0.000457764,0.000384512,0.000411572
0.951244,0.000459744,0.000386098,0.000413368
0.952522,0.000461195,0.000387618,0.000414851
0.953799,0.00046285,0.000389008,0.000416074
0.955077,0.000463989,0.000389534,0.000416703
0.956355,0.000465107,0.000390278,0.000417185
0.957633,0.000465821,0.000390739,0.000417025
0.958911,0.000466257,0.000390826,0.000416716
0.960189,0.000466734,0.000390743,0.00041637
0.961467,0.000466622,0.000390587,0.000415959
