species,formula,casrn,ref,htype,H_mol_m3_Pa,mindHR_K,lnH,dHsol_kJ_mol
"(1,1-dimethylethyl)-benzene",C6H5C4H9,98-06-6,2891,M,0.0016,4700,-6.43775,-39.078
"(1,1-dimethylethyl)-benzene",C6H5C4H9,98-06-6,2904,M,0.00094,2400,-6.96963,-19.9547
"(1,1-dimethylethyl)-methanoate",HCOOC4H9,762-75-4,2646,M,0.014,3600,-4.2687,-29.9321
"(1,1-dimethylethyl)-methanoate",HCOOC4H9,762-75-4,3518,L,0.014,3600,-4.2687,-29.9321
(1-methylpropyl)-benzene,C6H5C4H9,135-98-8,2891,M,0.0013,4600,-6.64539,-38.2465
(1-methylpropyl)-benzene,C6H5C4H9,135-98-8,2904,M,0.00075,2300,-7.19544,-19.1233
"(2,2,2-trifluoroethoxy)-ethene",CF3CH2OCHCH2,406-90-6,1943,L,0.00054,4000,-7.52394,-33.2579
"(2,2,2-trifluoroethoxy)-ethene",CF3CH2OCHCH2,406-90-6,2445,M,0.00055,4300,-7.50559,-35.7522
"(2,2,2-trifluoroethoxy)-ethene",CF3CH2OCHCH2,406-90-6,3696,L,0.00055,4000,-7.50559,-33.2579
(2-chloroethoxy)-ethene,C4H7ClO,110-75-8,usepa82,X,0.031,2500,-3.47377,-20.7862
(2-methylpropyl)-methanoate,HCOOC4H9,542-55-2,3518,L,0.016,5200,-4.13517,-43.2352
(2-methylpropyl)-methanoate,HCOOC4H9,542-55-2,3616,L,0.016,5200,-4.13517,-43.2352
(2-methylpropyl)-propanoate,C7H14O2,540-42-1,3616,L,0.015,6600,-4.19971,-54.8755
(2-propyl)-benzene,C6H5C3H7,98-82-8,1156,M,0.0016,3200,-6.43775,-26.6063
(2-propyl)-benzene,C6H5C3H7,98-82-8,1525,L,0.0012,3200,-6.72543,-26.6063
(2-propyl)-benzene,C6H5C3H7,98-82-8,2375,V,0.0011,5000,-6.81245,-41.5723
(2-propyl)-benzene,C6H5C3H7,98-82-8,2453,M,0.00089,4700,-7.02429,-39.078
(2-propyl)-benzene,C6H5C3H7,98-82-8,2891,M,0.0014,4900,-6.57128,-40.7409
(2-propyl)-benzene,C6H5C3H7,98-82-8,2904,M,0.001,2500,-6.90776,-20.7862
(2-propyl)-benzene,C6H5C3H7,98-82-8,3518,L,0.0009,4800,-7.01312,-39.9094
(2-propyl)-benzene,C6H5C3H7,98-82-8,3673,L,0.00084,4800,-7.08211,-39.9094
(2-propyl)-benzene,C6H5C3H7,98-82-8,903,M,0.00087,3300,-7.04702,-27.4377
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",C6H14O6,69-65-8,3067,V,1.8e+15,22000,35.1266,-182.918
"(2R,3R,4S)-pentane-1,2,3,4,5-pentol",C5H12O5,87-99-0,3067,V,3.9e+11,17000,26.6894,-141.346
"(2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol",C6H14O6,608-66-2,3067,V,9e+14,22000,34.4334,-182.918
"(2R,3S,4S)-pentane-1,2,3,4,5-pentol",C5H12O5,488-81-3,3067,V,4.6e+11,18000,26.8545,-149.66
"(2R,4R)-pentane-1,2,3,4,5-pentol",C5H12O5,2152-56-9,3067,V,6.7e+11,18000,27.2305,-149.66
"(2S,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",C6H14O6,50-70-4,3067,V,6.6e+14,22000,34.1233,-182.918
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,1148,M,0.00097,5000,-6.93821,-41.5723
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,1156,M,0.00099,3000,-6.91781,-24.9434
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,1525,L,0.0009,4100,-7.01312,-34.0893
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,1855,L,0.001,3500,-6.90776,-29.1006
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,1943,L,0.0011,4200,-6.81245,-34.9207
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2270,M,0.00084,4800,-7.08211,-39.9094
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2271,M,0.0007,5400,-7.26443,-44.8981
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2891,M,0.001,4000,-6.90776,-33.2579
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2897,M,0.001,3500,-6.90776,-29.1006
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2904,M,0.0011,2200,-6.81245,-18.2918
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2905,M,0.0018,6200,-6.31997,-51.5497
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,2931,M,0.00093,4900,-6.98033,-40.7409
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,3245,L,0.001,3600,-6.90776,-29.9321
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,3500,L,0.001,3600,-6.90776,-29.9321
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,3518,L,0.001,3900,-6.90776,-32.4264
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,3681,L,0.00099,3600,-6.91781,-29.9321
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,3681,M,0.00092,2600,-6.99114,-21.6176
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,532,M,0.0011,4200,-6.81245,-34.9207
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,747,L,0.0009,4100,-7.01312,-34.0893
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,855,M,0.001,4200,-6.90776,-34.9207
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,856,M,0.001,3700,-6.90776,-30.7635
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,903,M,0.00098,3400,-6.92796,-28.2692
"(E)-1,2-dichloroethene",CHClCHCl,156-60-5,usepa82,X,0.0019,1700,-6.2659,-14.1346
"(E)-1,4-dichloro-2-butene",C4H6Cl2,110-57-6,2891,M,0.035,6600,-3.35241,-54.8755
(E)-1-chloro-2-butene,C4H7Cl,4894-61-5,2923,M,0.0031,3000,-5.77635,-24.9434
(E)-2-butenal,CH3CHCHCHO,123-73-9,3518,L,0.54,5300,-0.616186,-44.0667
(E)-2-hexenal,C3H7CHCHCHO,6728-26-3,3650,M,0.9,5700,-0.105361,-47.3924
(E)-β-damascenone,C13H18O,23726-93-4,3215,M,0.32,4600,-1.13943,-38.2465
(R)-1-methyl-4-(1-methylethenyl)-cyclohexene,C10H16,5989-27-5,2124,M,0.00035,4500,-7.95758,-37.4151
(S)-1-methyl-4-(1-methylethenyl)-cyclohexene,C10H16,5989-54-8,2124,M,0.00035,4400,-7.95758,-36.5836
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,1156,M,0.0021,3200,-6.16582,-26.6063
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,1525,L,0.0023,3900,-6.07485,-32.4264
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,1855,L,0.0026,3700,-5.95224,-30.7635
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,1943,L,0.0025,4000,-5.99146,-33.2579
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2270,M,0.0025,4200,-5.99146,-34.9207
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2271,M,0.0022,4100,-6.1193,-34.0893
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2824,M,0.0025,3900,-5.99146,-32.4264
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2891,M,0.0027,3800,-5.9145,-31.595
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2897,M,0.0022,3100,-6.1193,-25.7748
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2904,M,0.0025,3000,-5.99146,-24.9434
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,2905,M,0.0013,3100,-6.64539,-25.7748
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,3245,L,0.0026,3700,-5.95224,-30.7635
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,3500,L,0.0026,3700,-5.95224,-30.7635
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,3518,L,0.0024,4000,-6.03229,-33.2579
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,3681,L,0.0023,3400,-6.07485,-28.2692
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,532,M,0.0026,4200,-5.95224,-34.9207
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,747,L,0.0023,3900,-6.07485,-32.4264
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,855,M,0.0024,4000,-6.03229,-33.2579
"(Z)-1,2-dichloroethene",CHClCHCl,156-59-2,856,M,0.0025,3800,-5.99146,-31.595
"(Z)-1,4-dichloro-2-butene",C4H6Cl2,1476-11-5,2891,M,0.03,9400,-3.50656,-78.1559
(Z)-1-chloro-2-butene,C4H7Cl,4628-21-1,2923,M,0.0012,2800,-6.72543,-23.2805
(chloromethyl)-benzene,C6H5CH2Cl,100-44-7,2891,M,0.02,7200,-3.91202,-59.8641
(chloromethyl)-benzene,C6H5CH2Cl,100-44-7,3518,L,0.022,4400,-3.81671,-36.5836
(chloromethyl)-oxirane,C3H5ClO,106-89-8,usepa82,X,0.28,3700,-1.27297,-30.7635
(diethylamino)-benzene,C10H15N,91-66-7,3518,L,0.067,6700,-2.70306,-55.7069
(ethylamino)-benzene,C8H11N,103-69-5,3518,L,0.81,7900,-0.210721,-65.6843
(perfluorobutyl)ethene,C6H3F9,19430-93-4,2993,Q,2.5e-06,4100,-12.8992,-34.0893
(perfluorodecyl)ethene,C12H3F21,30389-25-4,2993,Q,3.3e-08,6500,-17.2268,-54.044
(perfluorohexyl)ethene,C8H3F13,25291-17-2,2993,Q,5.3e-07,4900,-14.4504,-40.7409
(perfluorohexyl)ethene,C8H3F13,25291-17-2,3939,M,0.00011,4900,-9.11503,-40.7409
(perfluorooctyl)ethene,C10H3F17,21652-58-4,2993,Q,1.4e-07,5700,-15.7816,-47.3924
"1,1,1,2,3,3,3-heptafluoropropane",C3HF7,431-89-0,2013,M,1.4e-05,3300,-11.1765,-27.4377
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,1525,L,0.024,3200,-3.7297,-26.6063
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,1855,L,0.0042,4600,-5.47267,-38.2465
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,1943,V,0.0042,5000,-5.47267,-41.5723
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,2891,M,0.0048,4800,-5.33914,-39.9094
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,2904,M,0.0043,4100,-5.44914,-34.0893
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,3245,L,0.0042,4600,-5.47267,-38.2465
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,3500,L,0.0042,4600,-5.47267,-38.2465
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,3518,L,0.0042,4900,-5.47267,-40.7409
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,3681,L,0.005,6700,-5.29832,-55.7069
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,3681,M,0.0045,11000,-5.40368,-91.4591
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,855,M,0.004,4400,-5.52146,-36.5836
"1,1,1,2-tetrachloroethane",CCl3CH2Cl,630-20-6,856,M,0.0045,4600,-5.40368,-38.2465
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,1014,V,0.00014,2600,-8.87387,-21.6176
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,2013,M,0.00016,2900,-8.74034,-24.1119
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,2121,M,0.00019,1400,-8.56849,-11.6402
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,3245,L,0.00016,2700,-8.74034,-22.449
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,3500,L,0.00016,2700,-8.74034,-22.449
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,3564,M,0.00015,3100,-8.80488,-25.7748
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,3570,Q,0.00015,3100,-8.80488,-25.7748
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,921,M,0.00016,2900,-8.74034,-24.1119
"1,1,1,2-tetrafluoroethane",C2H2F4,811-97-2,923,M,0.00016,3000,-8.74034,-24.9434
"1,1,1,3,3,3-hexafluoro-2-propanol",CF3CHOHCF3,920-66-1,727,M,0.24,6700,-1.42712,-55.7069
"1,1,1-trichloro-2,2-bis-(4-chlorophenyl)-ethane",C14H9Cl5,50-29-3,1143,T,0.019,7800,-3.96332,-64.8528
"1,1,1-trichloro-2,2-bis-(4-chlorophenyl)-ethane",C14H9Cl5,50-29-3,2814,M,0.9,7500,-0.105361,-62.3585
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1014,V,0.0007,4700,-7.26443,-39.078
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1147,X,0.00058,4000,-7.45248,-33.2579
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1150,M,0.00049,4400,-7.62111,-36.5836
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1156,M,0.00057,3400,-7.46987,-28.2692
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1525,L,0.00059,4000,-7.43539,-33.2579
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1855,L,0.0006,3700,-7.41858,-30.7635
"1,1,1-trichloroethane",CH3CCl3,71-55-6,1943,L,0.00062,3900,-7.38579,-32.4264
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2243,M,0.00058,4100,-7.45248,-34.0893
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2269,M,0.00057,4200,-7.46987,-34.9207
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2270,M,0.00051,5200,-7.5811,-43.2352
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2271,M,0.00027,7000,-8.21709,-58.2012
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2824,M,0.00054,4100,-7.52394,-34.0893
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2891,M,0.00069,4000,-7.27882,-33.2579
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2896,M,0.00062,3500,-7.38579,-29.1006
"1,1,1-trichloroethane",CH3CCl3,71-55-6,2904,M,0.00067,1900,-7.30823,-15.7975
"1,1,1-trichloroethane",CH3CCl3,71-55-6,3245,L,0.0006,3700,-7.41858,-30.7635
"1,1,1-trichloroethane",CH3CCl3,71-55-6,3245,L,0.00042,4200,-7.77526,-34.9207
"1,1,1-trichloroethane",CH3CCl3,71-55-6,3500,L,0.0006,3700,-7.41858,-30.7635
"1,1,1-trichloroethane",CH3CCl3,71-55-6,3500,L,0.00042,4200,-7.77526,-34.9207
"1,1,1-trichloroethane",CH3CCl3,71-55-6,3518,L,0.00058,4100,-7.45248,-34.0893
"1,1,1-trichloroethane",CH3CCl3,71-55-6,3681,L,0.0006,3800,-7.41858,-31.595
"1,1,1-trichloroethane",CH3CCl3,71-55-6,532,M,0.00059,4100,-7.43539,-34.0893
"1,1,1-trichloroethane",CH3CCl3,71-55-6,584,M,0.00067,4100,-7.30823,-34.0893
"1,1,1-trichloroethane",CH3CCl3,71-55-6,599,M,0.00055,2500,-7.50559,-20.7862
"1,1,1-trichloroethane",CH3CCl3,71-55-6,601,M,0.00059,4300,-7.43539,-35.7522
"1,1,1-trichloroethane",CH3CCl3,71-55-6,608,M,0.00076,3200,-7.18219,-26.6063
"1,1,1-trichloroethane",CH3CCl3,71-55-6,747,L,0.00058,3900,-7.45248,-32.4264
"1,1,1-trichloroethane",CH3CCl3,71-55-6,855,M,0.0006,3300,-7.41858,-27.4377
"1,1,1-trichloroethane",CH3CCl3,71-55-6,856,M,0.00063,3700,-7.36979,-30.7635
"1,1,1-trichloroethane",CH3CCl3,71-55-6,857,M,0.00079,1300,-7.14348,-10.8088
"1,1,1-trichloroethane",CH3CCl3,71-55-6,903,M,0.00059,3100,-7.43539,-25.7748
"1,1,1-trichloroethane",CH3CCl3,71-55-6,usepa82,X,0.0022,1700,-6.1193,-14.1346
"1,1,1-trifluoro-2-propanol",CF3CHOHCH3,374-01-6,727,M,0.45,6300,-0.798508,-52.3811
"1,1,1-trifluoro-2-propanone",CF3COCH3,421-50-1,2626,L,1.4,8900,0.336472,-73.9987
"1,1,1-trifluoro-2-propanone",CF3COCH3,421-50-1,3245,L,1.4,8900,0.336472,-73.9987
"1,1,1-trifluoro-2-propanone",CF3COCH3,421-50-1,3500,L,1.4,8900,0.336472,-73.9987
"1,1,1-trifluoro-2-propanone",CF3COCH3,421-50-1,495,M,1.4,8900,0.336472,-73.9987
"1,1,2,2-tetrabromoethane",C2H2Br4,79-27-6,2895,M,0.01,840,-4.60517,-6.98415
"1,1,2,2-tetrabromoethane",C2H2Br4,79-27-6,3500,L,0.014,1300,-4.2687,-10.8088
"1,1,2,2-tetrabromoethane",C2H2Br4,79-27-6,3518,L,0.014,1300,-4.2687,-10.8088
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,1147,X,0.018,4200,-4.01738,-34.9207
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,1150,M,0.027,3500,-3.61192,-29.1006
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,1156,M,0.022,2900,-3.81671,-24.1119
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,1855,L,0.024,4800,-3.7297,-39.9094
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,2891,M,0.033,7200,-3.41125,-59.8641
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,2904,M,0.023,6800,-3.77226,-56.5383
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,3245,L,0.023,4800,-3.77226,-39.9094
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,3500,L,0.023,4800,-3.77226,-39.9094
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,3518,L,0.024,5000,-3.7297,-41.5723
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,3681,L,0.023,3700,-3.77226,-30.7635
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,747,L,0.024,3200,-3.7297,-26.6063
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,855,M,0.022,3100,-3.81671,-25.7748
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,856,M,0.026,4800,-3.64966,-39.9094
"1,1,2,2-tetrachloroethane",CHCl2CHCl2,79-34-5,usepa82,X,0.023,3000,-3.77226,-24.9434
"1,1,2,2-tetrahydroperfluoro dodecanol",C12H5F21O,865-86-1,2993,Q,0.0001,9600,-9.21034,-79.8188
"1,1,2,2-tetrahydroperfluoro dodecanol",C12H5F21O,865-86-1,3013,M,0.00013,2700,-8.94798,-22.449
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,1107,M,2.9e-05,4300,-10.4482,-35.7522
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,1156,M,3.4e-05,3200,-10.2892,-26.6063
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,1775,M,2.9e-05,4000,-10.4482,-33.2579
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,2013,M,2.8e-05,6500,-10.4833,-54.044
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,2891,M,0.0002,5700,-8.51719,-47.3924
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,3245,L,3.4e-05,3200,-10.2892,-26.6063
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,3500,L,3.4e-05,3200,-10.2892,-26.6063
"1,1,2-trichloro-1,2,2-trifluoroethane",C2F3Cl3,76-13-1,3518,L,2.9e-05,4100,-10.4482,-34.0893
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1107,M,0.011,4700,-4.50986,-39.078
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1147,X,0.011,4300,-4.50986,-35.7522
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1150,M,0.012,3700,-4.42285,-30.7635
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1156,M,0.01,4800,-4.60517,-39.9094
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1525,L,0.011,4900,-4.50986,-40.7409
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1855,L,0.011,4100,-4.50986,-34.0893
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,1943,L,0.012,4200,-4.42285,-34.9207
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,2891,M,0.014,5400,-4.2687,-44.8981
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,2904,M,0.011,5100,-4.50986,-42.4038
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,3245,L,0.011,4100,-4.50986,-34.0893
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,3500,L,0.011,4100,-4.50986,-34.0893
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,3518,L,0.011,4400,-4.50986,-36.5836
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,3681,L,0.011,4400,-4.50986,-36.5836
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,3681,M,0.0073,2400,-4.91988,-19.9547
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,747,L,0.011,4900,-4.50986,-40.7409
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,855,M,0.011,4300,-4.50986,-35.7522
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,856,M,0.011,4100,-4.50986,-34.0893
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,903,M,0.012,5900,-4.42285,-49.0553
"1,1,2-trichloroethane",CHCl2CH2Cl,79-00-5,usepa82,X,0.012,2700,-4.42285,-22.449
"1,1,2-trichloroethane-d3",CDCl2CD2Cl,171086-93-4,2891,M,0.013,5100,-4.34281,-42.4038
"1,1-dichloro-1-fluoroethane",CH3CFCl2,1717-00-6,1014,V,7.7e-05,5200,-9.47171,-43.2352
"1,1-dichloro-1-fluoroethane",CH3CFCl2,1717-00-6,2939,M,0.00029,2800,-8.14563,-23.2805
"1,1-dichloro-1-fluoroethane",CH3CFCl2,1717-00-6,3570,Q,0.00029,3500,-8.14563,-29.1006
"1,1-dichloro-1-fluoroethane",CH3CFCl2,1717-00-6,923,M,0.00028,3700,-8.18072,-30.7635
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethane",C14H10Cl4,72-54-8,1143,T,0.029,7300,-3.54046,-60.6956
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethane",C14H10Cl4,72-54-8,2814,M,0.91,5100,-0.0943107,-42.4038
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethene",C14H8Cl4,72-55-9,1143,T,0.026,7600,-3.64966,-63.1899
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethene",C14H8Cl4,72-55-9,2492,M,0.029,4700,-3.54046,-39.078
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethene",C14H8Cl4,72-55-9,2814,M,0.16,7700,-1.83258,-64.0214
"1,1-dichloroethane",CHCl2CH3,75-34-3,1147,X,0.0017,3800,-6.37713,-31.595
"1,1-dichloroethane",CHCl2CH3,75-34-3,1156,M,0.0015,3100,-6.50229,-25.7748
"1,1-dichloroethane",CHCl2CH3,75-34-3,1525,L,0.0016,3700,-6.43775,-30.7635
"1,1-dichloroethane",CHCl2CH3,75-34-3,1855,L,0.0017,4100,-6.37713,-34.0893
"1,1-dichloroethane",CHCl2CH3,75-34-3,1943,L,0.0018,4100,-6.31997,-34.0893
"1,1-dichloroethane",CHCl2CH3,75-34-3,2271,M,0.0013,4900,-6.64539,-40.7409
"1,1-dichloroethane",CHCl2CH3,75-34-3,2824,M,0.0019,3300,-6.2659,-27.4377
"1,1-dichloroethane",CHCl2CH3,75-34-3,2891,M,0.002,3900,-6.21461,-32.4264
"1,1-dichloroethane",CHCl2CH3,75-34-3,2901,M,0.0017,2100,-6.37713,-17.4604
"1,1-dichloroethane",CHCl2CH3,75-34-3,2904,M,0.0018,2600,-6.31997,-21.6176
"1,1-dichloroethane",CHCl2CH3,75-34-3,2953,M,0.0016,3900,-6.43775,-32.4264
"1,1-dichloroethane",CHCl2CH3,75-34-3,3245,L,0.0017,4100,-6.37713,-34.0893
"1,1-dichloroethane",CHCl2CH3,75-34-3,3245,L,0.0015,3900,-6.50229,-32.4264
"1,1-dichloroethane",CHCl2CH3,75-34-3,3500,L,0.0017,4000,-6.37713,-33.2579
"1,1-dichloroethane",CHCl2CH3,75-34-3,3500,L,0.0015,3900,-6.50229,-32.4264
"1,1-dichloroethane",CHCl2CH3,75-34-3,3518,L,0.0017,4000,-6.37713,-33.2579
"1,1-dichloroethane",CHCl2CH3,75-34-3,3681,L,0.0017,3900,-6.37713,-32.4264
"1,1-dichloroethane",CHCl2CH3,75-34-3,532,M,0.0018,4100,-6.31997,-34.0893
"1,1-dichloroethane",CHCl2CH3,75-34-3,584,M,0.002,4300,-6.21461,-35.7522
"1,1-dichloroethane",CHCl2CH3,75-34-3,747,L,0.0015,3600,-6.50229,-29.9321
"1,1-dichloroethane",CHCl2CH3,75-34-3,855,M,0.0015,4900,-6.50229,-40.7409
"1,1-dichloroethane",CHCl2CH3,75-34-3,856,M,0.0017,3700,-6.37713,-30.7635
"1,1-dichloroethane",CHCl2CH3,75-34-3,863,M,0.0018,4400,-6.31997,-36.5836
"1,1-dichloroethane",CHCl2CH3,75-34-3,usepa82,X,0.0018,1700,-6.31997,-14.1346
"1,1-dichloroethene",CH2CCl2,75-35-4,1107,M,0.00037,4200,-7.90201,-34.9207
"1,1-dichloroethene",CH2CCl2,75-35-4,1150,M,0.00026,4600,-8.25483,-38.2465
"1,1-dichloroethene",CH2CCl2,75-35-4,1156,M,0.00037,2900,-7.90201,-24.1119
"1,1-dichloroethene",CH2CCl2,75-35-4,1525,L,0.00034,4000,-7.98656,-33.2579
"1,1-dichloroethene",CH2CCl2,75-35-4,1855,L,0.00037,3400,-7.90201,-28.2692
"1,1-dichloroethene",CH2CCl2,75-35-4,1943,L,0.0004,3800,-7.82405,-31.595
"1,1-dichloroethene",CH2CCl2,75-35-4,2270,M,0.00034,4500,-7.98656,-37.4151
"1,1-dichloroethene",CH2CCl2,75-35-4,2271,M,0.00014,6600,-8.87387,-54.8755
"1,1-dichloroethene",CH2CCl2,75-35-4,2891,M,0.00041,4600,-7.79935,-38.2465
"1,1-dichloroethene",CH2CCl2,75-35-4,2904,M,0.00046,1600,-7.68428,-13.3031
"1,1-dichloroethene",CH2CCl2,75-35-4,3245,L,0.00037,3400,-7.90201,-28.2692
"1,1-dichloroethene",CH2CCl2,75-35-4,3500,L,0.00037,3400,-7.90201,-28.2692
"1,1-dichloroethene",CH2CCl2,75-35-4,3518,L,0.00031,3900,-8.07894,-32.4264
"1,1-dichloroethene",CH2CCl2,75-35-4,3681,L,0.00037,3500,-7.90201,-29.1006
"1,1-dichloroethene",CH2CCl2,75-35-4,3681,M,0.0004,3400,-7.82405,-28.2692
"1,1-dichloroethene",CH2CCl2,75-35-4,532,M,0.00038,3700,-7.87534,-30.7635
